0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.80,1.00,1.00
1.00,0.00,0.90,1.00,1.00,1.00,0.70,0.60,1.00,1.00
1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.80,1.00,0.90,0.00,0.90,1.00,1.00,0.80,1.00,1.00
1.00,1.00,1.00,1.00,0.00,1.00,0.70,0.80,1.00,1.00
1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.90,1.00,1.00
1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00
1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1.00,1.00,0.90,1.00,1.00,1.00,1.00,0.80,1.00,0.00
